timestamp,ax,ay,az,wx,wy,wz
23,-6.82168,-3.49134,6.14951,-3.15857,-1.70898,5.46264
46,-6.55113,-3.4279,6.22852,-3.82995,-3.23486,3.38745
74,-6.59662,-3.32854,6.22732,-4.31823,-3.35693,1.49536
99,-6.53677,-3.39199,6.41287,-3.52478,-2.74658,-1.37329
123,-6.75704,-3.34769,6.27879,-6.21032,-5.98144,-0.7019
147,-6.62895,-3.29861,6.04177,-14.63317,-3.72314,-4.79126
171,-6.38953,-3.32255,5.87777,-26.65708,-9.88769,19.37865
197,-6.45058,-3.11785,5.8646,-29.76987,-6.16455,17.05931
222,-5.63416,-3.54162,6.04536,-29.52574,-14.46532,-2.22778
246,-5.8221,-3.2627,6.35301,-32.7606,-20.6909,-4.30298
271,-6.99047,-3.63739,6.04296,-41.91586,-27.70994,2.53296
296,-5.61141,-3.85287,6.63553,-44.84555,-23.01024,-4.79126
319,-5.30495,-3.99652,7.25443,-30.5023,-12.5122,-22.97972
342,-5.14933,-4.11264,7.58483,-12.80211,-9.15527,-44.95236
367,-6.38953,-4.03962,6.77679,-17.74596,-1.52588,-40.74094
391,-6.47093,-3.64338,6.22971,-24.21568,14.9536,-39.03195
417,-6.33446,-4.11384,6.195,-24.82603,11.23046,-41.59543
443,-5.89752,-4.64655,6.37336,-24.03258,18.92089,-50.32345
468,-5.17686,-5.01406,6.68581,-29.64781,41.56491,-65.33809
493,-6.29735,-6.45656,5.73292,-32.08921,47.24117,-50.32345
520,-5.86998,-6.49487,4.32991,-39.53549,26.4282,-27.92356
545,-5.10145,-5.77541,4.59328,-40.87827,10.80322,-29.32737
570,-5.15891,-6.113,5.09247,-56.38118,33.81345,-31.15842
596,-6.00167,-6.05434,4.34907,-75.05792,42.84665,-20.84349
619,-6.8133,-6.04117,4.06535,-90.25567,47.30221,-1.37329
643,-6.22911,-5.88076,3.12683,-106.49101,46.02047,14.92308
666,-5.40551,-3.74992,2.62405,-78.78107,-33.14207,-19.01244
691,-8.50839,-4.15214,3.0969,-93.6126,-73.66937,-9.18578
716,-8.19715,-6.30333,4.96438,-105.94169,-40.52731,16.32689
741,-7.75542,-8.03434,4.22816,-121.93289,17.45604,36.89573
766,-6.54275,-6.44699,2.45885,-150.80251,29.84617,29.14427
792,-3.55479,-3.58113,-0.08739,-212.26486,2.99072,-9.79614
816,-2.6845,-3.82055,1.64003,-236.49579,55.54195,-52.39864
843,-1.26713,-4.38079,1.37786,-247.05489,103.63762,-135.9557
868,-5.31333,-8.62212,0.91219,-125.77811,-77.6977,-102.87468
894,-2.1075,-5.04518,1.66876,-48.9349,-113.58634,-144.8058
920,-2.63422,-5.70119,1.29766,19.66856,-129.76065,-228.11873
947,-1.42515,-8.03314,-0.86431,33.03526,-226.25716,-266.57083
973,-5.33129,-19.40321,-3.65116,-34.83579,-372.19211,-185.76036
1000,-9.96167,-25.95973,-1.10971,-172.95824,-170.22691,56.24385
1028,-6.12856,-20.87086,3.24414,-124.98465,-39.55075,73.02851
1055,1.06722,-7.26461,5.20021,-70.78547,32.1655,29.81565
