timestamp,ax,ay,az,wx,wy,wz
26,-2.04285,2.95863,4.60405,-36.72788,-2.2583,8.02612
49,-0.52852,3.77386,5.37738,-48.75179,-31.73826,-3.50952
72,2.00933,4.41192,13.64815,-1.08337,-14.83153,-33.47776
97,0.80146,3.73914,13.30697,29.9835,36.62107,-46.96652
120,-0.80026,2.57796,10.78468,15.09093,84.28949,-32.01292
145,-1.62985,2.16615,8.07085,-17.31871,101.01311,-15.65551
171,-0.44712,3.36924,9.24401,-24.03258,32.83689,-10.16235
195,-0.37769,3.08433,12.48696,38.83359,-7.08007,-13.27514
219,-2.31938,3.52008,8.3402,8.31603,-63.41548,11.68822
243,-3.68528,2.67492,6.43801,-47.7142,-45.83737,42.32785
267,-2.36727,1.55324,5.71496,-109.54276,-32.53171,69.06123
294,0.35614,2.08954,8.38449,-126.08328,-40.40524,89.08074
319,0.91997,2.6857,11.36408,-75.05792,-44.73874,91.94939
343,1.41078,2.79703,11.84292,4.9591,-35.03415,73.33369
366,3.18608,2.29784,9.9108,49.2706,-80.56635,-33.7219
390,-0.61471,2.12904,10.41478,76.06501,-65.12446,-20.84349
417,-0.1251,1.32699,7.8458,55.191,-58.04439,1.7395
442,-0.11552,2.81738,5.36301,-15.5487,-35.27829,13.39721
466,1.95187,3.24714,8.27197,-20.37047,-43.33493,15.04515
491,2.58035,2.08355,9.44872,35.53769,-113.28117,30.60911
515,3.91272,3.48416,7.44716,27.05381,-146.30116,-6.07299
539,2.8916,2.24756,7.78834,10.20812,-98.69377,9.00268
564,0.89483,1.05764,4.78721,-24.64293,-82.33636,53.3752
589,2.01293,-0.57162,5.9879,-52.96321,-39.30661,115.02068
615,2.78386,-0.25319,5.369,-22.99498,-126.95303,125.57973
639,7.45495,0.82899,6.80193,20.64513,-168.45691,86.76141
663,10.33397,2.809,6.51103,-15.24352,-117.18742,51.54415
688,4.8309,0.30825,5.89692,-55.7098,-66.03999,63.87325
712,3.49853,-1.01694,7.434,-60.34846,-62.98824,92.43768
746,6.22911,-0.45909,10.13705,-29.4647,-42.96872,89.99628
771,6.38833,-0.23643,12.05361,0.86975,-11.04736,83.83173
797,3.88758,-1.03489,9.17937,10.57433,-32.77586,109.16129
823,3.15975,-1.57718,8.04571,46.09677,-121.76505,136.44398
850,6.25904,-1.08038,9.68574,81.68024,-135.00966,134.18568
877,4.63936,-1.86568,7.86735,104.87358,-154.84607,155.30385
904,4.61782,-2.4343,6.87495,123.24515,-174.25525,181.67101
931,7.87393,-2.38881,6.64511,148.63574,-195.5565,191.07042
959,9.89943,-1.99138,7.13113,196.91454,-207.33627,169.95227
