timestamp,ax,ay,az,wx,wy,wz
23,2.3517,1.17974,12.21342,17.93669,62.10322,-71.87647
48,2.32776,0.90321,11.37306,24.28435,74.24921,-97.08398
72,0.83258,1.31382,10.19152,15.67839,68.08466,-102.39403
96,-1.86688,1.27791,9.77493,10.55144,49.40792,-87.07422
120,-1.52451,1.51493,8.89865,-6.9046,51.66622,-79.38379
144,-0.30466,1.78188,8.85077,-14.59502,68.57294,-87.98974
170,-0.91159,2.00215,8.93935,-10.93291,78.21649,-84.99902
195,-2.81379,1.95307,9.56903,4.32586,91.58318,-58.99806
219,-3.13581,1.43473,10.78049,25.01677,140.59438,-41.35892
243,-1.89681,0.29149,10.16518,36.67447,142.79164,-48.31692
268,-1.42275,0.60394,10.00836,80.43665,112.15202,-77.18652
295,-1.34614,0.38367,10.00477,116.5084,81.51239,-113.50242
321,-3.72239,1.05285,5.43185,111.32041,95.6115,-148.04828
346,-4.58669,1.30664,3.86963,101.98204,107.45231,-167.39642
372,-3.23157,1.61908,2.99694,92.03332,84.56415,-194.37393
397,-1.68731,0.71168,5.33249,106.13243,127.83804,-238.99062
420,-2.89998,0.12629,5.23073,114.4332,145.53822,-235.02332
444,-5.80773,-0.0413,5.27981,117.60703,137.72572,-225.37978
468,-5.00328,0.89364,6.74028,142.20418,164.39807,-237.34265
493,-6.16447,1.07919,8.63529,212.51662,138.94643,-254.12732
517,-12.04343,3.34171,6.13335,242.66795,46.60031,-221.10732
541,-15.4001,5.41269,2.29065,169.66997,-17.91381,-133.46089
564,-13.83789,5.06912,-0.58718,34.2941,-28.77806,-55.88527
588,-11.56699,4.59028,2.08236,24.65056,-42.26682,-62.5381
612,-9.02315,4.20721,7.38073,77.87317,-14.37377,-102.88231
637,-7.37953,3.70084,4.93744,125.41953,39.21506,-143.47066
663,-8.22109,2.07877,0.74639,102.59239,84.07587,-153.17525
689,-9.44094,1.63943,-1.99257,40.88589,115.20377,-158.60736
718,-8.06906,1.13425,0.15263,15.06804,127.04458,-181.92278
743,-8.95132,0.35255,1.86568,35.75895,97.8698,-175.39201
766,-11.63163,-2.11707,2.95744,51.07876,72.23505,-122.77975
792,-12.60727,-5.55515,2.16256,54.55776,12.90893,-41.72513
818,-9.80126,-3.40994,8.67958,118.15634,-15.65551,-60.40187
843,-10.89062,-3.3046,6.7702,121.02499,-45.50167,-57.22805
870,-12.60607,-1.91716,-0.44712,29.53337,-33.41673,-31.41019
897,-7.81048,-3.31417,2.95385,18.05876,52.45968,-71.63233
924,-7.02997,-3.97138,3.4686,12.19939,96.22186,-89.94287
949,-5.83048,-3.83252,0.56443,-44.25809,75.71405,-129.9819
974,-4.57592,-2.54683,4.10306,-62.20241,84.19794,-174.65961
1002,-7.51839,-4.16052,5.67725,-29.79276,91.40008,-169.53264
1029,-12.11047,-6.79295,6.08786,-3.6087,38.97092,-85.67041
1055,-5.33727,-5.89033,0.72724,-36.56766,6.56127,-108.68065
1080,-5.54916,-5.9047,0.10235,-74.65357,50.50655,-116.249
1104,-6.61697,-5.54078,1.91955,-64.64381,54.29073,-131.38571
1133,-5.89632,-9.05786,5.13736,-41.93875,39.82541,-130.53122
1160,-3.81456,-5.01525,4.63577,-8.06426,61.85909,-122.59665
1180,-7.71352,-6.29735,0.8266,-11.23809,80.10858,-77.36963
1214,-3.79661,-7.53036,1.25157,24.8947,44.76925,-87.98974
1234,-3.65056,-7.76978,-3.07356,11.71111,11.01684,-107.0327
1255,-5.0368,-8.12532,-5.92744,-11.4212,17.24242,-105.93406
1280,-6.42065,-8.03554,-2.75513,2.79999,43.67062,-59.60841
1303,-4.05757,-7.55431,-0.20171,14.51873,4.97436,-76.20997
