timestamp,ax,ay,az,wx,wy,wz
23,-0.40582,2.39839,8.50121,-3.18146,-5.56182,22.07945
44,-0.53391,2.48817,8.54072,-8.49151,-12.51983,30.62436
66,0.16161,2.66894,9.15483,-7.39288,-16.18193,34.16441
88,0.98641,2.86287,10.13047,2.1286,-11.4212,30.74644
109,1.39462,3.02687,9.9928,5.85174,-1.53351,24.39878
131,1.2797,2.9299,9.20511,-0.49591,3.04413,21.34703
155,0.91818,2.68809,8.83041,-3.05939,-0.67902,22.62877
177,0.95289,2.58873,8.92977,-4.34112,-3.66974,23.7274
199,1.24738,2.67612,9.02913,-2.51007,-1.04523,23.42222
224,1.41018,2.56958,8.72148,3.77655,-4.34112,25.61949
248,1.54665,2.40677,8.09779,13.6032,-30.15897,28.30503
271,1.99078,2.32537,7.53755,17.20427,-69.89284,37.03305
294,1.98958,2.15299,6.88632,16.28874,-93.94067,33.00474
318,1.97761,2.45585,8.16961,44.05972,-133.18625,45.08969
344,2.49955,1.68372,7.80929,67.4972,-154.12128,63.82747
370,2.46004,1.09116,4.57831,58.76918,-181.22087,84.45733
396,3.19746,1.86688,3.71161,32.58512,-192.39029,89.64532
421,4.34548,1.78667,4.16172,17.99773,-194.89275,96.60332
444,2.75812,-0.14425,6.59782,33.74479,-203.62076,127.97537
469,3.76488,-0.19333,7.24426,33.62271,-198.3107,154.64771
494,4.956,0.37649,8.84598,50.1022,-190.43718,169.72339
518,4.97515,-0.34776,9.64923,83.06116,-193.12273,196.94505
543,8.52934,1.28628,8.7933,84.58704,-186.46989,205.91721
568,10.7356,2.2284,9.66719,83.4884,-153.8161,185.65355
594,10.97981,2.23319,9.4158,80.49768,-87.34887,162.03296
618,11.15339,2.17214,8.53832,64.0182,-28.8162,137.0696
643,10.63265,2.36008,5.14574,48.39321,-2.32696,116.19559
668,10.14064,2.28946,4.04321,41.31314,-6.53839,96.48125
692,9.81862,2.31819,4.03483,36.5524,-19.5999,78.41486
716,10.27472,1.41557,7.08025,79.70422,-22.10234,75.60725
741,10.21606,0.84575,5.86998,93.31506,-15.93779,85.25079
766,9.89763,1.54486,3.386,70.30482,-16.54815,73.89826
797,8.77595,0.89483,3.49254,52.42153,-16.18193,75.66828
822,5.26126,-1.98419,2.73837,32.58512,-23.13994,104.9041
847,4.1288,-3.35488,2.66654,28.49577,-43.22049,148.66626
874,5.3283,-4.22636,1.26234,11.89422,-52.25368,177.4138
899,9.88326,-1.60112,-2.16855,-67.39039,-63.54518,184.98216
926,11.71842,-4.71478,3.57993,-67.63454,-39.86356,195.2971
952,11.55202,-3.22559,6.27221,16.47185,-8.49151,178.75658
978,10.87327,-5.44142,7.24426,69.20619,-71.96803,173.87378
1000,8.72208,-5.11102,-0.89842,15.37322,-62.14138,131.27127
1024,5.37259,-6.441,2.57915,15.06804,-58.3572,137.86305
1050,5.12599,-5.84365,4.09229,26.23747,-24.97099,139.44997
1075,6.46075,-5.68324,3.28425,11.95525,46.13491,135.11649
1102,5.38576,-5.83048,2.18411,-0.55695,95.51232,143.41725
1126,11.3545,-8.18278,2.77548,3.22723,64.07924,93.55157
1152,10.72243,-8.51318,5.06074,18.48601,60.78334,50.52181
1177,10.58596,-7.75662,1.67654,11.3449,-7.63702,2.60925
1202,6.67503,-8.90942,-0.97145,-55.85476,-81.12329,10.05553
1228,3.66193,-5.86041,-1.38445,-121.22336,-135.07832,47.10385
1255,2.88142,-6.2339,2.43909,-138.06905,-133.73555,137.13063
1279,4.02106,-7.93857,-4.49092,-166.93866,-171.27214,195.41917
1304,6.05733,-8.80408,1.74358,-27.71757,-52.43679,166.24438
1331,3.32076,-7.19757,-6.14173,-133.12521,-56.282,162.39917
1358,1.56102,-7.09462,-4.38079,-142.40254,-106.20872,159.77467
1385,0.67038,-7.56268,-1.54127,-149.66571,-70.68629,149.09352
1409,0.14485,-9.05547,-2.42592,-96.13793,-109.56565,135.05545
1435,1.54546,-11.77887,0.28551,-6.47735,56.69399,86.41046
1460,1.35751,-29.04945,-2.68929,-19.53886,207.81693,10.42175
1486,5.98191,-17.38131,-8.9609,-115.05882,43.1442,-96.45074
1510,1.79445,-10.64881,-2.84491,-82.64917,-37.17801,-86.80719
1533,0.82839,-7.87034,2.32896,-34.91972,-52.43679,-85.83062
1555,0.13408,-5.11222,-0.1646,-16.60918,-63.72829,-60.31795
1577,-0.66439,-5.79816,-0.17418,-17.21953,-73.55494,-33.88975
1599,-1.47124,-6.64571,0.96546,-13.74053,-55.91579,-11.36779
1622,-1.27491,-5.9454,0.95229,-4.76837,-27.29032,-8.74328
1645,-1.7741,-5.33847,0.06883,23.36882,-44.44119,2.36511
1668,-2.24337,-5.60183,-0.31903,51.44497,-48.04226,22.81187
1691,-2.09971,-5.90949,-0.81582,87.08948,-49.44607,46.98178
1714,-2.29245,-6.76182,-2.11468,96.42785,-47.85916,63.82747
1736,3.4704,-12.37024,-9.2901,60.41713,-32.53934,46.24936
1759,9.1686,-15.65509,-12.03984,1.33514,-22.71269,-30.22764
1782,9.09078,-15.78796,-9.581,-18.68437,-21.06474,-58.18172
1804,4.94642,-11.80521,-5.72154,-5.25665,-24.97099,-12.7716
1828,3.055,-7.89787,-3.47219,11.83318,-33.27176,-16.37267
1851,0.59855,-8.7945,-3.54521,9.39178,-7.20977,-26.07725
