# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 20:46:22.857
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.016428,-0.053,0.405,-1.488,1.543
0.027035,-0.067,0.652,-1.313,1.468
0.030870,-0.125,0.722,-1.230,1.432
0.031026,-0.138,0.743,-1.221,1.436
0.038188,-0.166,0.784,-1.196,1.440
0.041733,-0.188,0.861,-1.112,1.419
0.043798,-0.186,0.875,-1.089,1.409
0.049381,-0.184,0.880,-1.070,1.397
0.052330,-0.163,0.769,-1.039,1.302
0.053701,-0.147,0.663,-1.018,1.224
0.055922,-0.120,0.554,-0.986,1.138
0.065071,-0.090,0.488,-0.957,1.078
0.072040,0.092,0.410,-0.849,0.947
0.075604,0.302,0.521,-0.683,0.911
0.077796,0.352,0.541,-0.650,0.916
0.083724,0.404,0.556,-0.622,0.927
0.087956,0.553,0.531,-0.567,0.953
0.095117,0.578,0.509,-0.566,0.955
0.097659,0.628,0.449,-0.587,0.970
0.100059,0.619,0.404,-0.606,0.956
0.108165,0.603,0.305,-0.626,0.922
0.111619,0.576,0.142,-0.713,0.928
0.117332,0.580,0.236,-0.716,0.951
0.119451,0.579,0.544,-0.705,1.062
0.129442,0.573,0.640,-0.701,1.109
0.132016,0.493,0.915,-0.687,1.246
0.133506,0.467,0.936,-0.686,1.251
0.140943,0.440,0.948,-0.686,1.250
0.143278,0.334,1.019,-0.695,1.277
0.150733,0.306,1.046,-0.699,1.294
0.153266,0.184,1.148,-0.755,1.386
0.155208,0.141,1.189,-0.780,1.429
0.162834,0.094,1.232,-0.809,1.477
0.165365,-0.084,1.314,-0.944,1.620
0.173992,-0.117,1.298,-0.965,1.622
0.177116,-0.219,0.872,-1.017,1.358
0.185775,-0.223,0.720,-1.022,1.269
0.189211,-0.148,-0.083,-1.045,1.059
0.196039,-0.125,-0.232,-1.052,1.085
0.199022,-0.002,-0.703,-1.099,1.305
0.208571,0.029,-0.790,-1.120,1.370
0.210965,0.182,-1.214,-1.157,1.687
0.219445,0.216,-1.308,-1.146,1.752
0.230852,0.337,-1.542,-0.940,1.837
0.232895,0.258,-1.303,-0.509,1.423
0.242196,0.221,-1.271,-0.402,1.351
0.244862,-0.079,-1.357,0.172,1.370
0.252599,-0.147,-1.270,0.255,1.304
0.254715,-0.393,-0.904,0.497,1.104
0.263023,-0.446,-0.839,0.531,1.088
0.266705,-0.618,-0.844,0.604,1.208
0.274875,-0.645,-0.877,0.603,1.245
0.284723,-0.734,-1.219,0.515,1.513
0.288739,-0.764,-1.546,0.347,1.759
0.297218,-0.758,-1.606,0.308,1.802
0.300756,-0.511,-2.396,0.177,2.457
0.308193,-0.432,-2.602,0.156,2.642
0.310439,-0.114,-3.341,0.076,3.344
0.321695,-0.033,-3.508,0.056,3.509
0.330167,0.524,-4.555,-0.083,4.585
0.332184,0.748,-3.755,-0.243,3.836
0.340050,0.792,-3.437,-0.310,3.541
0.342129,1.041,-3.066,-0.648,3.302
0.344276,1.081,-2.751,-0.738,3.047
0.350897,1.117,-2.384,-0.829,2.759
0.354138,1.199,-1.412,-1.083,2.146
0.356332,1.192,-1.319,-1.103,2.092
0.362509,1.180,-1.274,-1.107,2.059
0.364918,1.099,-1.377,-1.054,2.053
0.375057,1.029,-1.620,-0.975,2.152
0.378038,0.857,-2.411,-0.778,2.674
0.386506,0.821,-2.558,-0.752,2.790
0.396323,0.614,-3.116,-0.711,3.255
0.398429,0.426,-3.253,-0.706,3.356
0.400435,0.378,-3.254,-0.697,3.349
