# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-10 21:32:48.309
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.015884,0.2069,0.2383,-0.6795,0.75
0.021162,0.1385,0.2257,-0.9383,0.97
0.028817,0.1392,0.2553,-0.6290,0.69
0.039943,0.2296,0.2050,-0.2055,0.37
0.054344,0.3145,0.0420,0.2760,0.42
0.056831,0.4478,-0.1430,0.9661,1.07
0.066812,0.2151,-0.5379,1.3355,1.46
0.076648,0.0448,-0.9240,1.1305,1.46
0.086872,-0.3488,-1.3753,0.5499,1.52
0.096652,-0.8934,-1.5882,-0.2002,1.83
0.108350,-0.9955,-1.4452,-1.3959,2.24
0.119369,-0.9659,-1.0758,-2.8346,3.18
0.129808,-0.8094,-0.6066,-3.8509,3.98
0.137955,-0.4062,0.0349,-4.2259,4.25
0.151416,-0.2736,0.1151,-4.1484,4.16
0.156383,-0.7651,-0.6887,-4.3211,4.44
0.166916,-1.3103,-1.6800,-4.6062,5.08
0.176182,-1.5529,-3.1045,-5.5515,6.55
0.191608,-0.9270,-2.5636,-4.5182,5.28
0.198380,-1.1392,-2.2032,-3.0506,3.93
0.208979,-1.6128,-2.3594,-2.6480,3.90
0.220325,-1.7335,-2.2691,-2.5863,3.85
0.232142,-1.0997,-1.5961,-2.2822,2.99
0.243054,-0.0283,-0.8448,-1.4998,1.72
0.246062,0.9837,-0.4737,-0.5533,1.22
0.255917,1.4336,-0.7952,0.0306,1.64
0.266049,1.1703,-1.1345,-0.0655,1.63
0.275778,0.0738,-1.7542,0.2784,1.78
0.286772,-1.1040,-2.2970,0.7321,2.65
0.298642,-1.5656,-2.9797,1.3258,3.62
0.310067,-1.6137,-3.1420,3.0338,4.66
0.320863,-1.7146,-3.2890,4.2701,5.66
0.332072,-1.4696,-3.2331,3.8002,5.20
0.342982,-1.2227,-2.8701,2.7586,4.16
0.345543,-1.0801,-2.3421,1.6578,3.07
0.355423,-0.5135,-1.9340,0.7361,2.13
0.365817,0.1036,-1.3922,0.8493,1.63
0.376593,1.0921,-0.6117,1.6424,2.06
0.387362,2.5252,-0.1140,1.5987,2.99
0.395393,3.2081,0.2185,1.4590,3.53
0.410356,3.5082,0.7674,1.7042,3.97
0.420648,3.2625,1.0943,2.2045,4.09
0.433543,3.4148,1.4219,1.8224,4.12
0.435228,5.8045,2.4633,0.5275,6.33
0.444936,17.7857,8.1063,-4.7986,20.13
0.454905,3.2403,6.0094,-0.3591,6.84
0.465951,2.6726,3.2255,-2.7224,5.00
0.476392,3.9986,2.3876,-3.1150,5.60
0.487628,2.8461,2.6183,-1.2161,4.05
