# Target Sample Rate: 500 Hz
# Max Device Sample Rate: 500 Hz
# Recording started at: 2026-02-10 19:27:43.293
time,ωₓ (rad/s),ωᵧ (rad/s),ωᶻ (rad/s),ω_total (rad/s)
0.004644,-0.134,-0.536,-0.301,0.629
0.012229,-0.043,-0.399,-0.316,0.511
0.022949,0.046,-0.168,-0.354,0.394
0.034740,0.120,0.138,-0.417,0.456
0.039220,0.232,0.572,-0.457,0.768
0.040317,0.257,0.613,-0.454,0.804
0.041845,0.280,0.649,-0.450,0.838
0.043779,0.307,0.683,-0.443,0.870
0.056762,0.333,0.713,-0.437,0.900
0.067364,0.495,0.819,-0.376,1.029
0.079227,0.609,0.858,-0.290,1.091
0.090323,0.584,0.866,-0.220,1.068
0.101702,0.498,0.667,-0.215,0.860
0.112830,0.324,0.488,-0.179,0.612
0.124135,0.162,0.513,-0.080,0.543
0.135239,0.021,0.723,-0.008,0.723
0.146271,-0.015,0.908,-0.093,0.913
0.157552,-0.073,1.101,0.003,1.103
0.169349,-0.127,1.258,0.148,1.273
0.180299,-0.087,1.063,0.113,1.073
0.191440,-0.200,0.388,-0.012,0.437
0.202597,-0.548,-0.072,-0.160,0.575
0.213956,-0.984,-0.550,-0.251,1.156
0.226929,-1.364,-0.890,-0.297,1.655
0.231162,-1.957,-0.717,-0.267,2.101
0.232774,-2.015,-0.630,-0.254,2.126
0.239513,-2.062,-0.538,-0.238,2.145
0.242620,-2.134,-0.101,-0.184,2.144
0.244567,-2.120,0.042,-0.176,2.128
0.251350,-2.098,0.196,-0.168,2.114
0.254616,-1.902,0.807,-0.167,2.072
0.263138,-1.829,0.952,-0.175,2.069
0.266554,-1.366,1.596,-0.232,2.113
0.275710,-1.257,1.709,-0.245,2.136
0.278499,-0.664,2.167,-0.290,2.285
0.288494,-0.554,2.214,-0.296,2.301
0.299140,0.028,2.401,-0.303,2.421
0.310985,0.488,2.608,-0.137,2.657
0.321910,0.439,3.053,0.351,3.105
0.333244,-0.400,3.586,1.433,3.882
0.345191,-1.135,3.234,2.349,4.155
0.356484,-1.421,2.088,2.754,3.737
0.366685,-1.621,0.868,2.934,3.463
0.378219,-1.787,0.512,2.747,3.317
0.389645,-1.657,0.875,2.174,2.870
0.401143,-1.201,1.318,0.394,1.826
0.412097,-0.472,1.756,-0.580,1.909
0.423879,-0.076,2.880,-1.024,3.057
0.426060,0.463,3.330,-1.296,3.604
0.430187,0.722,3.353,-1.442,3.720
0.432430,0.854,3.359,-1.529,3.788
0.433815,0.984,3.379,-1.620,3.875
0.451324,1.112,3.422,-1.707,3.983
0.453751,1.497,3.254,-1.894,4.051
0.455610,1.475,3.291,-1.868,4.062
0.464761,1.451,3.347,-1.837,4.085
0.467320,1.395,3.782,-1.647,4.355
0.476428,1.418,3.894,-1.608,4.445
0.487888,1.771,4.473,-1.503,5.041
0.491184,2.313,4.970,-1.598,5.710
0.493710,2.806,5.296,-1.776,6.251
0.495752,2.971,5.411,-1.851,6.444
0.497575,3.131,5.528,-1.938,6.642
0.499406,3.281,5.644,-2.032,6.837
0.501362,3.420,5.755,-2.130,7.025
0.516158,3.543,5.853,-2.239,7.199
0.519419,3.894,5.944,-3.156,7.776
0.521413,3.850,5.839,-3.255,7.714
0.523279,3.788,5.712,-3.346,7.627
0.538730,3.711,5.563,-3.431,7.516
0.541261,2.738,4.192,-3.946,6.375
0.543152,2.600,4.028,-4.006,6.248
0.545202,2.464,3.877,-4.068,6.136
