# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-02-10 19:27:02.310
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.016806,-0.5764,-0.1474,-0.0049,0.59
0.016998,0.8872,0.1956,0.3108,0.96
0.034350,1.7266,0.3961,0.2833,1.79
0.034514,1.5011,0.0985,0.4321,1.57
0.051848,0.5475,-0.1152,0.7784,0.96
0.068347,-0.4915,-0.3691,0.9376,1.12
0.068857,-1.1326,-0.6830,0.8196,1.56
0.085334,-1.3226,-1.0751,0.7302,1.85
0.086530,-0.9080,-1.3790,1.0181,1.94
0.127276,-0.1802,-1.6279,0.7442,1.80
0.143105,1.5085,-1.1769,-0.9569,2.14
0.160154,1.5365,-0.8408,-1.5630,2.35
0.160279,1.1578,-1.0235,-2.2950,2.77
0.177381,0.6311,-1.2740,-3.1858,3.49
0.177465,0.2588,-1.2428,-3.9082,4.11
0.194650,0.0388,-0.9912,-4.0801,4.20
0.212318,-1.6005,-0.7172,-1.4366,2.27
0.212445,-0.8035,-1.3200,-1.5854,2.21
0.229484,-0.2951,-1.1377,-0.8990,1.48
0.246721,-0.3320,-0.5677,-0.4166,0.78
0.246847,-0.3220,-0.6359,-0.7192,1.01
0.264098,-0.5710,-1.4195,-1.5375,2.17
0.281508,0.2064,-2.0688,-1.8778,2.80
0.298516,0.0010,-1.7288,-1.6390,2.38
0.316089,0.3872,-2.2495,-2.4885,3.38
0.316225,1.1507,-1.7658,-2.5905,3.34
0.334581,1.7379,-1.1040,-2.5439,3.27
0.335561,1.9463,-0.6191,-2.5269,3.25
0.373205,1.9302,-0.3975,-2.6651,3.31
0.390683,3.3428,-0.0900,-0.6821,3.41
0.395190,2.8662,-0.2524,-0.6422,2.95
0.407959,2.8346,0.2265,-1.0988,3.05
0.415084,3.2773,0.8929,-1.0935,3.57
0.426482,4.2529,1.7641,-0.8424,4.68
0.443772,5.8881,2.2629,2.1591,6.67
0.449488,3.7138,-0.1634,4.0415,5.49
0.460860,1.0143,-1.9298,4.9473,5.41
0.478927,-1.1205,-2.6576,5.3963,6.12
0.479415,-3.7418,-3.2568,6.2417,7.97
0.495790,-6.0598,-3.4069,7.2882,10.07
0.513825,-5.9892,-2.2304,6.7904,9.32
0.530714,-3.9867,-1.0931,2.7794,4.98
0.534389,-4.1303,-1.7080,1.6424,4.76
0.548961,-3.6701,-2.1295,1.4623,4.49
0.566835,-2.6167,-1.9237,2.0156,3.82
0.566908,-2.1921,-1.2838,3.0526,3.97
0.583821,-4.4543,-0.6785,5.3920,7.03
0.601625,-5.9178,-0.9619,5.7025,8.27
0.604369,-7.0219,-1.2362,5.2575,8.86
0.619148,-6.9422,-1.2374,4.1973,8.21
0.619232,-6.2347,-1.0452,2.5282,6.81
0.628628,-5.3836,-1.1574,0.9053,5.58
0.638862,-4.0624,-1.1206,-0.4591,4.24
0.653910,-3.3660,-1.0902,-1.4344,3.82
0.658730,-1.9948,-0.7123,-1.7766,2.76
0.672072,-1.2611,-0.5033,-1.8755,2.32
0.690228,-1.7906,-0.6176,-0.9891,2.14
0.690326,-0.9085,-0.4493,0.2607,1.05
0.707792,-0.5850,-0.5142,1.2089,1.44
0.724970,-0.5633,-0.5954,1.3998,1.62
0.743117,-0.5559,-1.0914,0.5201,1.33
0.760612,0.4070,-1.1853,-0.8285,1.50
0.760691,0.4541,-0.4296,-2.1694,2.26
0.778613,0.9336,0.5051,-2.7572,2.95
0.778706,1.4031,0.8862,-3.2489,3.65
0.795526,0.8961,0.8447,-3.1712,3.40
0.813657,0.2508,0.7323,-2.8117,2.92
0.813749,0.0781,0.6825,-2.7102,2.80
0.818015,-0.2386,0.3952,-2.4398,2.48
0.831328,-1.1468,0.5009,0.9115,1.55
0.838068,-1.0836,0.2527,2.1295,2.40
0.848539,-0.7819,-0.7749,2.9630,3.16
0.867644,0.3647,-0.4685,3.3977,3.45
0.867726,-1.3704,0.3144,-2.4093,2.79
0.886297,-2.4930,1.3438,-7.6381,8.15
0.887874,-2.3026,1.9379,-8.7381,9.24
0.897484,-1.4005,1.8433,-6.9431,7.32
0.907333,-0.3848,1.2454,-2.9859,3.26
0.921591,0.3834,0.9233,1.4158,1.73
0.938800,0.2667,0.3460,3.1117,3.14
0.938892,1.2156,-0.3394,2.0042,2.37
0.956696,1.5924,1.4464,1.0215,2.38
0.957175,0.2888,2.2196,0.8121,2.38
0.973763,-0.4135,1.3203,0.9397,1.67
0.991695,1.2444,1.1213,0.6445,1.79
0.992734,2.1242,1.5611,0.1823,2.64
1.008867,1.2986,1.5384,-0.2823,2.03
1.012404,0.7209,0.9549,-0.1692,1.21
1.017174,0.7079,0.5793,0.4378,1.01
1.027443,-0.2381,0.2919,1.3993,1.45
1.044650,-1.1573,0.1915,1.5717,1.96
1.047831,-1.3214,0.7768,1.2660,1.99
1.062721,-2.6123,0.5099,0.3830,2.69
1.080594,-1.2096,0.9189,-0.7315,1.69
1.081800,-0.8256,0.6507,-2.0289,2.29
1.103609,-0.7866,0.2547,-1.2639,1.51
1.103889,1.0369,-0.1764,-0.4682,1.15
1.106281,2.9285,-0.9221,-0.7249,3.15
1.123690,4.6450,-1.6255,-0.7800,4.98
1.126551,6.1364,-1.4255,-1.1392,6.40
1.144499,4.3958,-0.9172,-4.6018,6.43
1.146322,3.3331,-0.0887,-5.3686,6.32
1.163082,3.7432,0.4276,-3.6349,5.24
1.171036,5.1719,0.7580,-2.3259,5.72
1.175800,5.9332,0.8033,-2.0961,6.34
1.206008,7.4425,1.7846,-2.4526,8.04
1.224560,-4.7935,-0.3740,4.2882,6.44
1.242713,-4.3553,-0.2552,3.4786,5.58
1.245655,-3.6684,-0.0109,1.9669,4.16
1.261801,-3.1857,0.4333,0.1129,3.22
1.279196,-3.4568,0.0495,-0.5224,3.50
1.297437,3.4888,0.7271,-4.5712,5.80
1.314906,2.7728,0.4047,-4.6974,5.47
1.315701,3.4000,-0.4623,0.4579,3.46
1.332542,3.1737,-1.3078,3.3751,4.81
1.340421,2.1276,-1.6111,4.1662,4.95
1.350671,1.1047,-1.4997,4.6327,4.99
1.368756,0.7506,0.0257,4.0934,4.16
1.368825,0.8101,1.5868,1.1883,2.14
1.375031,0.8225,2.7675,-3.1301,4.26
1.386722,2.3233,3.5579,-5.2985,6.79
1.404813,3.6902,4.1909,-2.6393,6.18
1.404983,-0.3757,1.3702,0.0145,1.42
1.422575,-0.9400,0.8822,1.2095,1.77
1.424626,-1.7306,0.9602,0.8103,2.14
1.440365,0.2643,-0.6051,0.0016,0.66
1.459033,-0.9861,-1.6190,-1.3420,2.32
1.459103,-1.5256,-1.6294,-1.1654,2.52
1.464437,-0.0739,-0.5170,1.4489,1.54
1.477201,2.0600,-0.1093,1.8843,2.79
1.484679,-1.3521,-2.6778,-1.0874,3.19
1.495547,-3.8245,-5.4822,-7.2644,9.87
1.513928,-3.6152,-5.8949,-9.0430,11.38
1.514721,-1.4562,-4.7514,-2.6048,5.61
1.524797,0.7250,-2.8831,5.9520,6.65
1.538917,3.5474,-0.4726,10.7740,11.35
1.544512,5.4870,2.1667,9.5344,11.21
1.554277,7.5167,4.5939,5.3985,10.33
1.564178,3.6253,2.9310,2.7697,5.42
1.574103,1.2178,2.1181,1.4441,2.84
1.584491,-0.1865,2.0753,-0.5156,2.15
1.593874,-0.8147,2.2877,-1.8202,3.03
1.604522,-0.9591,2.9662,-3.9378,5.02
1.614446,-1.0437,2.9219,-5.3345,6.17
1.626821,-1.2063,1.2816,-2.6010,3.14
1.634243,-0.5441,3.3803,-1.2766,3.65
1.649824,0.1773,5.1608,-2.2643,5.64
1.653788,0.8445,5.6520,-1.7473,5.98
1.663836,-3.1428,1.9751,-0.2706,3.72
1.673984,-5.9118,-0.2385,0.8028,5.97
1.684518,-1.4825,3.2302,5.4956,6.54
1.694383,0.3105,4.7715,6.1488,7.79
1.703880,-0.7097,3.7201,4.2912,5.72
1.715874,-1.3070,2.7133,2.3713,3.83
1.723595,-1.2585,1.3163,2.0694,2.76
1.733155,-0.9572,-1.1529,2.4851,2.90
1.743104,0.2200,-4.1489,2.5162,4.86
1.753274,1.3256,-8.1116,1.1538,8.30
1.763101,3.0804,-12.3803,0.4787,12.77
1.774454,3.6296,-15.9817,-1.0058,16.42
1.783890,3.5439,-18.6519,-2.2546,19.12
1.793462,1.3522,-19.0706,-3.4085,19.42
1.805111,-2.8084,-14.2824,-5.0967,15.42
1.813299,-2.8465,-6.2400,-4.9490,8.46
1.827801,-2.4417,-1.5321,-3.7317,4.72
1.833154,-2.8899,1.2363,-2.9716,4.33
1.842746,-3.4583,2.9814,-2.2815,5.10
1.853667,-3.7068,4.0288,-1.6246,5.71
1.864044,-3.3562,4.3483,-0.9067,5.57
1.872822,-2.3187,3.4611,-0.1363,4.17
1.882904,-2.2913,0.8106,0.4699,2.48
1.894369,-2.8214,-1.4170,0.5156,3.20
1.903601,-2.8333,-2.4849,0.0085,3.77
1.916751,-2.4964,-2.3879,-0.7961,3.55
1.923871,-2.3869,-1.5160,-1.7404,3.32
1.932852,-2.5567,-0.6394,-2.3332,3.52
1.942472,-3.0563,-0.5372,-2.3301,3.88
1.952901,-3.4001,-1.1040,-1.9968,4.09
1.962872,-2.4211,-1.0342,-1.4419,3.00
1.973329,-1.5302,-0.7551,-0.7944,1.88
1.983421,-0.9976,-0.4195,-0.2332,1.11
1.993080,-0.8532,-0.0658,0.2882,0.90
2.005981,-0.8125,0.1299,0.7728,1.13
2.013216,-0.6278,0.0127,0.9951,1.18
2.022247,-0.4422,-0.7333,0.7330,1.13
2.032056,-0.3650,-1.7325,-0.0377,1.77
2.042418,-0.2696,-2.4307,-1.1491,2.70
2.056678,-0.5468,-2.7859,-2.2395,3.62
2.061414,-1.4877,-2.9428,-3.0136,4.47
2.076751,-2.6457,-3.3635,-2.9424,5.19
2.086712,-3.4367,-3.9482,-2.1051,5.64
2.102566,-3.7688,-4.3039,-1.1135,5.83
2.106924,-3.9267,-4.5179,-0.2108,5.99
2.127130,-4.0718,-4.7790,0.3559,6.29
2.127327,-4.2941,-5.1084,0.0371,6.67
2.131145,-4.5322,-5.3872,-1.0524,7.12
2.148242,-4.5576,-5.3768,-2.4718,7.47
2.151145,-4.3321,-4.8624,-4.0767,7.68
2.166557,-4.1222,-3.9059,-5.5874,7.97
2.172602,-4.0936,-2.9337,-7.0988,8.70
2.196769,-3.8414,-2.0139,-8.1802,9.26
2.196899,-3.3468,-1.2782,-7.2912,8.12
2.200841,-2.8928,-1.0948,-5.0207,5.90
2.214870,-2.4399,-1.3734,-2.2242,3.58
2.220786,-1.4528,-1.9591,0.4860,2.49
2.232053,0.6540,-2.6387,3.0810,4.11
2.241437,3.2029,-3.3792,4.7661,6.66
2.251047,5.2412,-4.1260,5.4005,8.58
2.265902,6.7787,-4.7158,5.0406,9.67
2.275870,7.7703,-4.5937,4.6233,10.14
2.280753,8.0352,-3.6908,3.6374,9.56
2.295352,6.7548,-1.9842,3.2000,7.73
2.300807,4.7902,-0.4535,2.7411,5.54
2.310363,3.3220,0.4685,2.2580,4.04
2.320407,1.8811,0.6774,3.3547,3.91
2.331450,0.1693,0.4246,2.9320,2.97
2.340387,-1.1600,0.4026,1.7034,2.10
2.355461,-2.3256,0.4039,1.4632,2.78
2.365434,-2.8737,0.5818,0.9392,3.08
2.370174,-1.9015,1.1083,0.7434,2.32
2.385302,-1.0558,1.7583,1.7789,2.71
2.395769,-0.1484,2.3322,2.7137,3.58
2.406465,0.3767,2.7957,3.0081,4.12
2.415835,0.5993,3.1829,3.0284,4.43
2.428726,1.1376,3.6285,3.1970,4.97
2.435318,1.8747,4.0346,3.1919,5.48
2.445535,2.5066,4.3014,3.1061,5.87
2.455005,3.3976,4.5540,2.9054,6.38
2.465444,4.1813,4.7985,2.9345,7.01
2.475201,4.8142,4.9575,3.0327,7.55
2.485928,5.1204,4.9678,3.2429,7.84
2.495848,5.3658,5.2458,2.9330,8.06
2.505439,5.2494,5.5519,2.7335,8.11
2.518794,5.0899,6.0318,2.6366,8.32
2.524738,5.3040,6.5517,2.6251,8.83
2.534701,5.5638,6.7371,2.1256,8.99
2.544490,5.3895,6.1706,1.3714,8.31
2.549336,4.7767,5.1080,0.4359,7.01
2.562396,3.7187,3.5314,-1.4036,5.32
2.569799,2.6288,1.7302,-4.5505,5.53
2.579243,0.9643,-0.8387,-10.0365,10.12
2.590083,-5.1524,-6.9453,-16.2183,18.38
2.609192,-16.9216,-16.2710,-3.7522,23.77
2.624305,-19.1680,-17.6444,-4.9180,26.51
2.629461,-13.7064,-12.3928,-3.9220,18.89
2.639388,-4.9425,-3.0466,-2.9482,6.51
2.651844,-2.8792,1.3425,-2.4202,3.99
2.659231,-1.6394,3.1086,-1.7923,3.95
2.668758,0.4214,4.4344,-1.0054,4.57
2.678644,2.1848,4.9742,0.5170,5.46
2.690001,3.5201,5.0994,4.0598,7.41
2.699075,5.9298,5.0220,7.6836,10.93
2.709346,8.9512,2.9178,9.8054,13.59
2.718830,11.1266,-0.4795,9.1264,14.40
2.728775,12.0939,-3.4145,5.3020,13.64
2.740756,10.9845,-7.5579,1.6038,13.43
